id,time
1497278,2012-08-03-01:39:53
1733800,2012-08-03-01:42:08
996684,2012-08-03-01:43:43
71465,2012-08-03-01:44:30
122731,2012-08-03-01:48:12
1518100,2012-08-03-01:48:16
910876,2012-08-03-01:48:42
1463637,2012-08-03-01:50:12
71465,2012-08-03-01:51:07
371888,2012-08-03-01:52:33
232833,2012-08-03-01:52:59
92879,2012-08-03-01:56:02
895666,2012-08-03-01:56:24
1073935,2012-08-03-01:56:46
7837,2012-08-03-01:57:25
1471404,2012-08-03-02:00:48
597711,2012-08-03-02:03:24
1101579,2012-08-03-02:03:25
71465,2012-08-03-02:03:59
817184,2012-08-03-02:07:05
903237,2012-08-03-02:08:33
216929,2012-08-03-02:09:57
844090,2012-08-03-02:10:25
533128,2012-08-03-02:11:35
863774,2012-08-03-02:13:09
1610455,2012-08-03-02:15:45
1293019,2012-08-03-02:17:28
445533,2012-08-03-02:18:31
883148,2012-08-03-02:18:49
219848,2012-08-03-02:19:47
464631,2012-08-03-02:22:08
464631,2012-08-03-02:22:08
630727,2012-08-03-02:27:23
17878,2012-08-03-02:30:08
834042,2012-08-03-02:36:01
1031383,2012-08-03-02:45:15
1293019,2012-08-03-02:46:40
839273,2012-08-03-02:46:48
1111846,2012-08-03-02:48:51
520113,2012-08-03-03:02:23
608254,2012-08-03-03:03:13
1226909,2012-08-03-03:06:54
241743,2012-08-03-03:07:47
1324574,2012-08-03-03:12:29
245645,2012-08-03-03:13:48
521497,2012-08-03-03:15:40
859401,2012-08-03-03:31:14
957743,2012-08-03-03:35:15
47656,2012-08-03-03:38:10
337681,2012-08-03-03:48:44
229213,2012-08-03-05:13:04
1463936,2012-08-03-05:24:18
646989,2012-08-03-05:26:16
1608162,2012-08-03-05:33:52
41164,2012-08-03-05:36:18
1673734,2012-08-03-05:39:04
872762,2012-08-03-05:44:32
861651,2012-08-03-05:44:42
865520,2012-08-03-05:49:15
1482956,2012-08-03-06:07:10
733835,2012-08-03-06:13:09
1314580,2012-08-03-06:17:27
490300,2012-08-03-06:19:43
857429,2012-08-03-06:28:19
867790,2012-08-03-06:30:02
112455,2012-08-03-06:35:08
1545965,2012-08-03-06:35:41
250629,2012-08-03-06:36:31
1493656,2012-08-03-06:39:49
467135,2012-08-03-06:40:34
33984,2012-08-03-06:42:56
489915,2012-08-03-06:45:21
834058,2012-08-03-06:46:27
434924,2012-08-03-06:47:35
1318995,2012-08-03-06:52:10
489915,2012-08-03-06:52:18
272328,2012-08-03-06:52:57
467108,2012-08-03-06:53:22
1318995,2012-08-03-06:53:27
809640,2012-08-03-06:54:03
791023,2012-08-03-06:54:36
9031,2012-08-03-06:58:17
7591,2012-08-03-06:59:10
819780,2012-08-03-07:02:37
538098,2012-08-03-07:04:00
815867,2012-08-03-07:09:08
496310,2012-08-03-07:09:58
482485,2012-08-03-07:10:22
387642,2012-08-03-07:11:20
909151,2012-08-03-07:11:38
1334801,2012-08-03-07:13:12
1101250,2012-08-03-07:14:33
1045272,2012-08-03-07:17:18
1631442,2012-08-03-07:17:53
226235,2012-08-03-07:19:06
564144,2012-08-03-07:22:04
1454070,2012-08-03-07:23:08
815653,2012-08-03-07:27:25
466085,2012-08-03-07:27:58
237363,2012-08-03-07:27:58
466085,2012-08-03-07:27:58
237363,2012-08-03-07:29:22
892669,2012-08-03-07:31:00
467167,2012-08-03-07:31:54
986531,2012-08-03-07:33:13
28741,2012-08-03-07:34:31
1260706,2012-08-03-07:35:22
1548544,2012-08-03-07:36:28
261982,2012-08-03-07:36:31
625620,2012-08-03-07:37:10
274030,2012-08-03-07:38:28
1239373,2012-08-03-07:38:31
1037383,2012-08-03-07:38:37
795089,2012-08-03-07:39:41
1063580,2012-08-03-07:44:23
235269,2012-08-03-07:52:56
5863,2012-08-03-07:55:06
257761,2012-08-03-07:55:35
1479117,2012-08-03-07:57:24
255161,2012-08-03-08:00:04
84469,2012-08-03-08:00:42
868326,2012-08-03-08:03:00
765707,2012-08-03-08:04:51
1701436,2012-08-03-08:05:18
82288,2012-08-03-08:05:28
1637906,2012-08-03-08:06:04
83217,2012-08-03-08:07:38
895788,2012-08-03-08:09:59
646134,2012-08-03-08:11:28
309336,2012-08-03-08:14:58
75740,2012-08-03-08:16:38
203026,2012-08-03-08:16:38
1687761,2012-08-03-08:17:13
723479,2012-08-03-08:17:37
285041,2012-08-03-08:18:37
791984,2012-08-03-08:19:07
997812,2012-08-03-08:20:13
1787434,2012-08-03-08:20:36
1540837,2012-08-03-08:20:58
289287,2012-08-03-08:23:00
548718,2012-08-03-08:23:05
514016,2012-08-03-08:23:46
441647,2012-08-03-08:25:30
840309,2012-08-03-08:26:48
1630124,2012-08-03-08:26:57
1042401,2012-08-03-08:28:10
1209350,2012-08-03-08:30:04
1645870,2012-08-03-08:30:10
238468,2012-08-03-08:30:35
523589,2012-08-03-08:31:33
38208,2012-08-03-08:31:49
234830,2012-08-03-08:32:10
18335,2012-08-03-08:32:56
377810,2012-08-03-08:33:28
768526,2012-08-03-08:37:11
1319165,2012-08-03-08:41:24
995795,2012-08-03-08:41:53
1710485,2012-08-03-08:42:10
809120,2012-08-03-08:42:48
355533,2012-08-03-08:43:22
1655155,2012-08-03-08:43:48
413314,2012-08-03-08:43:59
909949,2012-08-03-08:44:11
23813,2012-08-03-08:45:00
973243,2012-08-03-08:45:07
932881,2012-08-03-08:45:28
1452828,2012-08-03-08:46:45
72650,2012-08-03-08:46:46
943154,2012-08-03-08:46:51
999633,2012-08-03-08:47:38
987860,2012-08-03-08:48:16
465728,2012-08-03-08:49:04
465728,2012-08-03-08:49:04
1722800,2012-08-03-08:49:36
1332826,2012-08-03-08:50:02
1073720,2012-08-03-08:50:21
1577966,2012-08-03-08:50:55
454615,2012-08-03-08:51:12
1535672,2012-08-03-08:51:48
279725,2012-08-03-08:52:11
48211,2012-08-03-08:52:59
1208140,2012-08-03-08:54:40
1621865,2012-08-03-08:55:04
1621865,2012-08-03-08:55:04
1211143,2012-08-03-08:58:25
1244900,2012-08-03-08:59:48
1217976,2012-08-03-09:00:37
266425,2012-08-03-09:00:56
1668083,2012-08-03-09:01:49
28747,2012-08-03-09:01:49
1582858,2012-08-03-09:01:51
391288,2012-08-03-09:03:43
1250425,2012-08-03-09:03:56
459038,2012-08-03-09:04:32
1396356,2012-08-03-09:05:10
1328952,2012-08-03-09:05:43
249703,2012-08-03-09:06:10
656527,2012-08-03-09:06:25
602229,2012-08-03-09:06:26
1456139,2012-08-03-09:06:31
40782,2012-08-03-09:06:38
459038,2012-08-03-09:08:05
89967,2012-08-03-09:08:07
438104,2012-08-03-09:08:35
336245,2012-08-03-09:09:40
1015902,2012-08-03-09:09:50
909260,2012-08-03-09:09:56
1066013,2012-08-03-09:10:16
332437,2012-08-03-09:10:29
656527,2012-08-03-09:10:29
798068,2012-08-03-09:11:24
1559062,2012-08-03-09:11:45
281239,2012-08-03-09:13:29
1661605,2012-08-03-09:13:35
8111,2012-08-03-09:13:38
364596,2012-08-03-09:14:01
164876,2012-08-03-09:14:09
1115155,2012-08-03-09:14:39
265372,2012-08-03-09:15:13
964768,2012-08-03-09:15:14
860038,2012-08-03-09:15:52
588586,2012-08-03-09:15:55
480399,2012-08-03-09:16:21
1284287,2012-08-03-09:16:21
824834,2012-08-03-09:16:25
600170,2012-08-03-09:16:35
834956,2012-08-03-09:16:43
73825,2012-08-03-09:16:45
442950,2012-08-03-09:16:47
890914,2012-08-03-09:17:13
1448963,2012-08-03-09:17:27
681156,2012-08-03-09:18:21
319162,2012-08-03-09:18:40
1502611,2012-08-03-09:18:50
1761535,2012-08-03-09:19:00
1598485,2012-08-03-09:19:02
283217,2012-08-03-09:19:15
455811,2012-08-03-09:19:29
659567,2012-08-03-09:20:04
668775,2012-08-03-09:20:53
503374,2012-08-03-09:21:13
999418,2012-08-03-09:21:23
239953,2012-08-03-09:21:39
850513,2012-08-03-09:21:41
819778,2012-08-03-09:21:44
1567414,2012-08-03-09:21:50
603929,2012-08-03-09:21:52
740737,2012-08-03-09:22:38
864788,2012-08-03-09:22:39
492249,2012-08-03-09:22:52
1015464,2012-08-03-09:22:54
879030,2012-08-03-09:23:11
90674,2012-08-03-09:23:18
1095146,2012-08-03-09:23:46
561551,2012-08-03-09:23:50
90118,2012-08-03-09:24:00
1019382,2012-08-03-09:24:18
845294,2012-08-03-09:24:39
479534,2012-08-03-09:24:44
668868,2012-08-03-09:25:03
119546,2012-08-03-09:25:05
253816,2012-08-03-09:25:13
1623595,2012-08-03-09:25:24
1623595,2012-08-03-09:25:24
1571083,2012-08-03-09:25:32
88367,2012-08-03-09:26:09
415630,2012-08-03-09:26:19
906406,2012-08-03-09:26:25
1244032,2012-08-03-09:26:30
46007,2012-08-03-09:26:35
497791,2012-08-03-09:26:45
1593845,2012-08-03-09:26:51
1105574,2012-08-03-09:26:52
319641,2012-08-03-09:26:56
1599016,2012-08-03-09:27:01
942568,2012-08-03-09:27:19
111503,2012-08-03-09:27:24
514999,2012-08-03-09:27:27
487001,2012-08-03-09:27:31
76857,2012-08-03-09:27:40
285425,2012-08-03-09:28:01
1501577,2012-08-03-09:28:11
456697,2012-08-03-09:28:12
491830,2012-08-03-09:28:18
1003485,2012-08-03-09:28:32
325826,2012-08-03-09:28:36
235024,2012-08-03-09:28:56
268765,2012-08-03-09:29:26
967750,2012-08-03-09:30:08
91696,2012-08-03-09:30:19
433500,2012-08-03-09:30:28
247340,2012-08-03-09:30:37
1648699,2012-08-03-09:30:38
1237381,2012-08-03-09:30:39
264616,2012-08-03-09:30:41
1077405,2012-08-03-09:30:42
808596,2012-08-03-09:30:46
1611241,2012-08-03-09:30:56
1468001,2012-08-03-09:31:04
46128,2012-08-03-09:31:22
600527,2012-08-03-09:31:30
312542,2012-08-03-09:31:31
492249,2012-08-03-09:31:40
6904,2012-08-03-09:31:51
1493745,2012-08-03-09:31:55
1563903,2012-08-03-09:32:06
1089829,2012-08-03-09:32:09
536533,2012-08-03-09:32:33
753486,2012-08-03-09:32:54
88026,2012-08-03-09:33:05
514950,2012-08-03-09:33:11
1524921,2012-08-03-09:33:16
440962,2012-08-03-09:33:17
1648378,2012-08-03-09:33:25
458932,2012-08-03-09:33:33
324367,2012-08-03-09:33:33
446520,2012-08-03-09:33:34
277849,2012-08-03-09:33:40
1014084,2012-08-03-09:33:56
521397,2012-08-03-09:34:04
471991,2012-08-03-09:34:17
506370,2012-08-03-09:34:31
1613249,2012-08-03-09:34:45
836807,2012-08-03-09:34:53
1581116,2012-08-03-09:35:05
604449,2012-08-03-09:35:08
360518,2012-08-03-09:35:15
952836,2012-08-03-09:35:37
1459071,2012-08-03-09:35:40
478290,2012-08-03-09:35:46
754395,2012-08-03-09:35:56
860627,2012-08-03-09:36:10
123038,2012-08-03-09:36:10
868599,2012-08-03-09:36:11
915472,2012-08-03-09:36:11
557977,2012-08-03-09:36:12
952851,2012-08-03-09:36:23
902224,2012-08-03-09:36:48
506666,2012-08-03-09:36:52
1481641,2012-08-03-09:36:53
670523,2012-08-03-09:37:00
855048,2012-08-03-09:37:01
431779,2012-08-03-09:37:16
325543,2012-08-03-09:37:41
1673365,2012-08-03-09:37:50
940937,2012-08-03-09:38:06
1525737,2012-08-03-09:38:19
1462781,2012-08-03-09:38:19
1467674,2012-08-03-09:38:32
1222971,2012-08-03-09:38:38
569874,2012-08-03-09:38:43
322399,2012-08-03-09:38:45
570834,2012-08-03-09:38:51
1487639,2012-08-03-09:39:08
57295,2012-08-03-09:39:11
446742,2012-08-03-09:39:12
1461902,2012-08-03-09:39:17
822502,2012-08-03-09:39:22
1007616,2012-08-03-09:39:31
272149,2012-08-03-09:39:38
245131,2012-08-03-09:39:39
396893,2012-08-03-09:39:47
662032,2012-08-03-09:40:04
761881,2012-08-03-09:40:06
761881,2012-08-03-09:40:06
314753,2012-08-03-09:40:08
929702,2012-08-03-09:40:13
804328,2012-08-03-09:40:16
1266746,2012-08-03-09:40:25
269416,2012-08-03-09:40:29
992613,2012-08-03-09:40:32
350255,2012-08-03-09:40:42
415054,2012-08-03-09:40:42
878610,2012-08-03-09:41:04
617402,2012-08-03-09:41:11
311382,2012-08-03-09:41:13
1129836,2012-08-03-09:41:16
33641,2012-08-03-09:41:20
286169,2012-08-03-09:41:24
491959,2012-08-03-09:41:35
959636,2012-08-03-09:41:38
225540,2012-08-03-09:41:43
869161,2012-08-03-09:41:44
804328,2012-08-03-09:41:48
1488482,2012-08-03-09:41:48
421018,2012-08-03-09:41:49
968572,2012-08-03-09:42:12
854349,2012-08-03-09:42:16
1461902,2012-08-03-09:42:33
37542,2012-08-03-09:42:39
93757,2012-08-03-09:42:40
512114,2012-08-03-09:42:44
411281,2012-08-03-09:42:54
814830,2012-08-03-09:42:57
1515330,2012-08-03-09:43:07
536006,2012-08-03-09:43:28
1553963,2012-08-03-09:43:32
64078,2012-08-03-09:43:40
1216167,2012-08-03-09:43:55
679434,2012-08-03-09:43:56
214252,2012-08-03-09:43:56
959864,2012-08-03-09:44:03
1145993,2012-08-03-09:44:06
536040,2012-08-03-09:44:07
928727,2012-08-03-09:44:13
33143,2012-08-03-09:44:27
1455050,2012-08-03-09:44:28
31758,2012-08-03-09:44:38
1507112,2012-08-03-09:44:40
268017,2012-08-03-09:44:41
537404,2012-08-03-09:44:50
761881,2012-08-03-09:44:51
761881,2012-08-03-09:44:51
1464293,2012-08-03-09:44:53
795810,2012-08-03-09:45:02
475930,2012-08-03-09:45:10
936382,2012-08-03-09:45:13
1710764,2012-08-03-09:45:15
466145,2012-08-03-09:45:17
998489,2012-08-03-09:45:17
466145,2012-08-03-09:45:17
432027,2012-08-03-09:45:24
1527919,2012-08-03-09:45:26
1685083,2012-08-03-09:45:28
1267710,2012-08-03-09:45:32
1409170,2012-08-03-09:45:42
806762,2012-08-03-09:45:47
544108,2012-08-03-09:45:48
880632,2012-08-03-09:45:48
268017,2012-08-03-09:45:54
917797,2012-08-03-09:45:57
515843,2012-08-03-09:46:01
217720,2012-08-03-09:46:08
1142717,2012-08-03-09:46:14
527550,2012-08-03-09:46:23
1513823,2012-08-03-09:46:37
1079513,2012-08-03-09:46:52
1455050,2012-08-03-09:46:56
54086,2012-08-03-09:47:11
1615277,2012-08-03-09:47:13
1259544,2012-08-03-09:47:17
953301,2012-08-03-09:47:26
491348,2012-08-03-09:47:32
1454097,2012-08-03-09:47:33
239085,2012-08-03-09:47:33
1075592,2012-08-03-09:47:34
805010,2012-08-03-09:47:37
955163,2012-08-03-09:47:38
520618,2012-08-03-09:47:39
812736,2012-08-03-09:47:42
1558225,2012-08-03-09:47:42
985955,2012-08-03-09:47:46
45575,2012-08-03-09:47:53
100478,2012-08-03-09:47:53
795122,2012-08-03-09:47:59
501653,2012-08-03-09:47:59
1205192,2012-08-03-09:48:01
343721,2012-08-03-09:48:05
1087386,2012-08-03-09:48:09
218337,2012-08-03-09:48:09
241803,2012-08-03-09:48:17
393505,2012-08-03-09:48:25
433861,2012-08-03-09:48:41
532941,2012-08-03-09:48:51
1362207,2012-08-03-09:48:54
622266,2012-08-03-09:48:54
446225,2012-08-03-09:49:01
1267710,2012-08-03-09:49:03
429710,2012-08-03-09:49:04
220197,2012-08-03-09:49:04
1502407,2012-08-03-09:49:19
1031529,2012-08-03-09:49:19
470279,2012-08-03-09:49:21
895898,2012-08-03-09:49:26
1146874,2012-08-03-09:49:32
577810,2012-08-03-09:49:33
913723,2012-08-03-09:49:42
815841,2012-08-03-09:50:00
1266746,2012-08-03-09:50:08
577810,2012-08-03-09:50:10
323426,2012-08-03-09:50:16
427191,2012-08-03-09:50:22
1498771,2012-08-03-09:50:24
1528591,2012-08-03-09:50:26
980811,2012-08-03-09:50:29
1483373,2012-08-03-09:50:31
775440,2012-08-03-09:50:40
1598702,2012-08-03-09:50:47
854428,2012-08-03-09:50:51
51184,2012-08-03-09:50:53
1006931,2012-08-03-09:50:56
877460,2012-08-03-09:51:00
98731,2012-08-03-09:51:05
871996,2012-08-03-09:51:10
41054,2012-08-03-09:51:11
1497712,2012-08-03-09:51:19
12612,2012-08-03-09:51:23
941569,2012-08-03-09:51:28
991938,2012-08-03-09:51:37
650303,2012-08-03-09:51:38
957430,2012-08-03-09:51:43
275238,2012-08-03-09:51:55
609881,2012-08-03-09:51:56
907567,2012-08-03-09:52:13
1263985,2012-08-03-09:52:26
1513747,2012-08-03-09:52:34
1560644,2012-08-03-09:52:37
642951,2012-08-03-09:52:38
1510584,2012-08-03-09:52:39
478290,2012-08-03-09:52:43
807260,2012-08-03-09:52:43
493019,2012-08-03-09:52:45
1134881,2012-08-03-09:52:49
1462549,2012-08-03-09:52:53
1503232,2012-08-03-09:53:03
1580286,2012-08-03-09:53:05
259480,2012-08-03-09:53:06
956968,2012-08-03-09:53:10
421545,2012-08-03-09:53:22
528687,2012-08-03-09:53:29
1602387,2012-08-03-09:53:41
53105,2012-08-03-09:53:45
253570,2012-08-03-09:53:50
388799,2012-08-03-09:54:01
1605625,2012-08-03-09:54:01
685948,2012-08-03-09:54:08
569085,2012-08-03-09:54:13
1205594,2012-08-03-09:54:13
1399270,2012-08-03-09:54:14
866839,2012-08-03-09:54:24
23613,2012-08-03-09:54:28
1232912,2012-08-03-09:54:36
801347,2012-08-03-09:54:39
1487396,2012-08-03-09:54:39
1718753,2012-08-03-09:54:51
1726440,2012-08-03-09:54:54
969550,2012-08-03-09:54:59
1280214,2012-08-03-09:55:00
696156,2012-08-03-09:55:02
1490102,2012-08-03-09:55:05
962097,2012-08-03-09:55:05
821471,2012-08-03-09:55:06
7268,2012-08-03-09:55:08
895452,2012-08-03-09:55:11
1608215,2012-08-03-09:55:17
1383579,2012-08-03-09:55:22
337368,2012-08-03-09:55:29
1027254,2012-08-03-09:55:31
1036224,2012-08-03-09:55:32
814125,2012-08-03-09:55:36
800173,2012-08-03-09:55:38
1478592,2012-08-03-09:55:38
240359,2012-08-03-09:55:39
90674,2012-08-03-09:55:45
1509456,2012-08-03-09:55:54
12041,2012-08-03-09:56:03
890813,2012-08-03-09:56:05
391894,2012-08-03-09:56:07
265923,2012-08-03-09:56:12
233224,2012-08-03-09:56:19
539625,2012-08-03-09:56:26
27214,2012-08-03-09:56:27
286092,2012-08-03-09:56:32
1003551,2012-08-03-09:56:35
1209075,2012-08-03-09:56:36
600887,2012-08-03-09:56:44
415382,2012-08-03-09:56:49
1260680,2012-08-03-09:56:59
1518640,2012-08-03-09:56:59
945157,2012-08-03-09:57:04
98731,2012-08-03-09:57:24
465141,2012-08-03-09:57:28
465141,2012-08-03-09:57:28
242106,2012-08-03-09:57:37
1485865,2012-08-03-09:57:39
836714,2012-08-03-09:57:43
2288,2012-08-03-09:57:46
510500,2012-08-03-09:57:48
1260940,2012-08-03-09:57:50
918167,2012-08-03-09:57:50
1213160,2012-08-03-09:57:55
216050,2012-08-03-09:57:57
328240,2012-08-03-09:58:02
1527260,2012-08-03-09:58:04
514490,2012-08-03-09:58:05
1507412,2012-08-03-09:58:05
1002076,2012-08-03-09:58:08
640609,2012-08-03-09:58:13
880160,2012-08-03-09:58:15
1636908,2012-08-03-09:58:44
708026,2012-08-03-09:58:47
678509,2012-08-03-09:58:50
809731,2012-08-03-09:58:51
1563011,2012-08-03-09:58:52
1382941,2012-08-03-09:58:58
929601,2012-08-03-09:58:59
25915,2012-08-03-09:59:07
812736,2012-08-03-09:59:08
78762,2012-08-03-09:59:12
490955,2012-08-03-09:59:16
324556,2012-08-03-09:59:17
865828,2012-08-03-09:59:18
1555225,2012-08-03-09:59:18
604904,2012-08-03-09:59:22
515300,2012-08-03-09:59:25
1767543,2012-08-03-09:59:26
1002297,2012-08-03-09:59:26
1550490,2012-08-03-09:59:36
1542043,2012-08-03-09:59:44
501653,2012-08-03-09:59:57
947498,2012-08-03-10:00:06
1464759,2012-08-03-10:00:10
34095,2012-08-03-10:00:13
445210,2012-08-03-10:00:20
1465848,2012-08-03-10:00:23
970872,2012-08-03-10:00:23
1125852,2012-08-03-10:00:24
221967,2012-08-03-10:00:26
498274,2012-08-03-10:00:33
1539498,2012-08-03-10:00:39
831919,2012-08-03-10:00:48
500419,2012-08-03-10:00:49
933256,2012-08-03-10:00:57
1551318,2012-08-03-10:00:57
492892,2012-08-03-10:01:02
220821,2012-08-03-10:01:02
814345,2012-08-03-10:01:06
850496,2012-08-03-10:01:10
355032,2012-08-03-10:01:13
661393,2012-08-03-10:01:16
137557,2012-08-03-10:01:18
585316,2012-08-03-10:01:20
515837,2012-08-03-10:01:24
423320,2012-08-03-10:01:24
686436,2012-08-03-10:01:26
1048930,2012-08-03-10:01:38
1525919,2012-08-03-10:01:40
1213128,2012-08-03-10:01:42
44981,2012-08-03-10:01:49
472993,2012-08-03-10:01:50
1624779,2012-08-03-10:01:55
1624779,2012-08-03-10:01:55
873349,2012-08-03-10:01:56
606919,2012-08-03-10:01:57
86209,2012-08-03-10:02:02
490078,2012-08-03-10:02:09
233617,2012-08-03-10:02:13
620771,2012-08-03-10:02:19
265701,2012-08-03-10:02:28
1197750,2012-08-03-10:02:31
371128,2012-08-03-10:02:37
803110,2012-08-03-10:02:42
540045,2012-08-03-10:02:48
221004,2012-08-03-10:02:49
1487396,2012-08-03-10:02:50
91273,2012-08-03-10:02:54
815569,2012-08-03-10:02:56
845047,2012-08-03-10:02:56
1532180,2012-08-03-10:03:08
710622,2012-08-03-10:03:19
1617043,2012-08-03-10:03:20
1381285,2012-08-03-10:03:22
1622014,2012-08-03-10:03:24
1622014,2012-08-03-10:03:24
924499,2012-08-03-10:03:31
422534,2012-08-03-10:03:33
239382,2012-08-03-10:03:39
524282,2012-08-03-10:03:48
1036826,2012-08-03-10:03:53
533502,2012-08-03-10:03:59
1207398,2012-08-03-10:03:59
541690,2012-08-03-10:04:00
412798,2012-08-03-10:04:00
490773,2012-08-03-10:04:01
1693692,2012-08-03-10:04:04
257255,2012-08-03-10:04:11
323881,2012-08-03-10:04:11
24417,2012-08-03-10:04:16
13704,2012-08-03-10:04:20
522093,2012-08-03-10:04:22
1037090,2012-08-03-10:04:23
903405,2012-08-03-10:04:29
177303,2012-08-03-10:04:33
972299,2012-08-03-10:04:35
859114,2012-08-03-10:04:37
100509,2012-08-03-10:04:45
101378,2012-08-03-10:04:47
808618,2012-08-03-10:04:59
1456645,2012-08-03-10:04:59
1092952,2012-08-03-10:05:04
1644662,2012-08-03-10:05:06
479019,2012-08-03-10:05:09
650303,2012-08-03-10:05:16
269948,2012-08-03-10:05:16
1021836,2012-08-03-10:05:19
262044,2012-08-03-10:05:23
834512,2012-08-03-10:05:27
303473,2012-08-03-10:05:28
340454,2012-08-03-10:05:28
252752,2012-08-03-10:05:40
620591,2012-08-03-10:05:48
932175,2012-08-03-10:05:52
75821,2012-08-03-10:05:52
349873,2012-08-03-10:05:53
292843,2012-08-03-10:05:58
1237081,2012-08-03-10:06:02
1003453,2012-08-03-10:06:03
247756,2012-08-03-10:06:03
1783720,2012-08-03-10:06:04
1481643,2012-08-03-10:06:07
672090,2012-08-03-10:06:14
229630,2012-08-03-10:06:18
992192,2012-08-03-10:06:35
935553,2012-08-03-10:06:36
444718,2012-08-03-10:06:36
38258,2012-08-03-10:06:37
247756,2012-08-03-10:06:43
361574,2012-08-03-10:06:44
303962,2012-08-03-10:06:46
457757,2012-08-03-10:06:58
672250,2012-08-03-10:07:01
576945,2012-08-03-10:07:06
814796,2012-08-03-10:07:07
539745,2012-08-03-10:07:11
1080987,2012-08-03-10:07:23
436002,2012-08-03-10:07:23
60643,2012-08-03-10:07:28
