source,target
8175,71735
8175,217784
217784,8175
8175,461307
461307,8175
8175,494108
494108,8175
8175,838798
838798,8175
8175,871053
871053,8175
8175,923138
923138,8175
8175,1250268
1250268,8175
8175,1279385
1279385,8175
8175,1508922
8175,1536283
1536283,8175
8175,1541098
1541098,8175
8192,34095
8192,40554
8192,86970
8192,265923
8192,371888
8192,749401
8354,106609
8354,466591
8354,1715823
1715823,8354
8381,908462
8445,19084
8445,55536
8445,76874
8445,422872
8445,425640
8445,426947
8445,448436
8445,494249
8445,504226
8445,662571
8445,810231
8445,897428
8445,908462
8445,915795
8445,971538
8445,1034450
8445,1199330
8445,1548057
8445,1607643
8506,65592
65592,8506
8506,1062988
8506,1189987
1189987,8506
8506,1456720
1456720,8506
8506,1459657
1459657,8506
8506,1715823
8744,1169409
8744,1582088
8755,466591
8815,2806
8815,11115
8815,14532
8815,16927
8815,40619
8815,68639
8815,72221
8815,73558
8815,102326
8815,112406
8815,247061
8815,248764
8815,275520
8815,478114
8815,490955
8815,492249
8815,890431
8815,897428
8815,903390
8815,908462
8815,920251
8815,965740
8815,987788
8815,1266119
8815,1463901
8815,1544204
8844,492249
8844,802368
8844,863084
8844,897428
8844,1463876
8968,40026
8968,61642
61642,8968
8968,93099
93099,8968
8968,103360
103360,8968
8968,226611
226611,8968
8968,246790
246790,8968
8968,253228
253228,8968
8968,276546
276546,8968
8968,424172
424172,8968
8968,429154
429154,8968
8968,450382
450382,8968
8968,465287
465287,8968
8968,493904
493904,8968
8968,497444
497444,8968
8968,508966
508966,8968
8968,830537
830537,8968
8968,908601
908601,8968
8968,914459
914459,8968
8968,1451349
1451349,8968
8968,1498054
1498054,8968
8968,1510584
1510584,8968
8991,826535
8991,1055500
1055500,8991
9031,436705
9031,908462
9031,1496964
9231,908462
9441,598242
598242,9441
9512,234774
234774,9512
9513,990577
9513,991199
9554,436705
9554,474686
9653,1059707
1059707,9653
9653,1507398
9653,1714318
1714318,9653
9713,16927
16927,9713
9713,43680
43680,9713
9713,233730
233730,9713
9713,364808
364808,9713
9713,518104
518104,9713
9713,551781
9713,1315461
1315461,9713
9745,791023
791023,9745
9783,5069
5069,9783
9783,973399
9783,1075375
1075375,9783
9783,1078734
1078734,9783
9783,1115155
1115155,9783
9783,1137804
9783,1222971
1222971,9783
9783,1548416
9783,1726440
1726440,9783
9829,883148
883148,9829
9945,4305
9945,25000
25000,9945
9945,71735
9945,141132
141132,9945
9945,495778
495778,9945
9945,497391
497391,9945
9945,716690
716690,9945
9945,836030
836030,9945
9945,1093916
1093916,9945
9945,1429596
1429596,9945
9945,1666926
1666926,9945
10053,909197
909197,10053
10053,924433
10074,615614
615614,10074
10074,646560
646560,10074
10074,919725
919725,10074
10074,973399
10074,1474362
1474362,10074
10284,54858
10284,416946
10284,430655
10284,493669
493669,10284
10284,575734
10284,909197
10284,1494912
10284,1506897
1506897,10284
10284,1530002
10284,1657903
10375,15911
15911,10375
10375,24660
24660,10375
10375,31228
31228,10375
10375,42147
42147,10375
10375,52132
52132,10375
10375,260218
260218,10375
10375,278006
278006,10375
10375,355135
355135,10375
10375,724655
724655,10375
10375,809356
10375,831520
831520,10375
10375,850433
850433,10375
10375,862257
862257,10375
10375,916407
916407,10375
10375,947664
947664,10375
10375,1009552
1009552,10375
10375,1506134
1506134,10375
10448,466591
10448,908462
10477,43715
43715,10477
10477,375092
375092,10477
10477,447757
447757,10477
10477,468243
468243,10477
10477,908462
10477,971218
971218,10477
10690,29770
29770,10690
10690,436705
10690,894121
10690,924601
10697,871268
871268,10697
10697,920231
920231,10697
10769,15489
15489,10769
10769,232644
232644,10769
10769,239751
10769,442011
442011,10769
10769,717059
717059,10769
10769,762394
762394,10769
10769,856171
856171,10769
10769,876538
876538,10769
10769,885246
885246,10769
10769,1397199
1397199,10769
10769,1652048
1652048,10769
10769,1670802
1670802,10769
10823,262097
10823,283217
283217,10823
10823,307907
10823,436705
10823,442950
10823,504170
504170,10823
10823,617402
617402,10823
10823,660583
660583,10823
10823,749094
749094,10823
10823,909260
909260,10823
10823,971672
10823,973399
10823,983416
983416,10823
10823,1508102
1508102,10823
10823,1548416
10823,1555225
10823,1620151
10924,908462
10952,5549
10952,49804
10952,95445
95445,10952
10952,436090
10952,897428
10999,1544204
11115,908462
11123,466591
11123,613703
11123,908462
11381,24660
11381,436705
11381,444360
11381,1217486
11381,1544204
11387,446520
446520,11387
11387,554234
11387,898986
11387,1555225
11411,432472
432472,11411
11411,1474483
1474483,11411
11445,1041927
11617,40026
11617,436705
11617,908462
11617,920230
11702,551781
11702,797542
797542,11702
11702,908462
11748,234125
234125,11748
11748,463036
463036,11748
11748,1318186
1318186,11748
11748,1324160
1324160,11748
11748,1354438
1354438,11748
11988,41172
41172,11988
11988,68906
68906,11988
11988,244599
244599,11988
11988,436090
436090,11988
11988,459484
459484,11988
11988,478114
478114,11988
11988,499156
499156,11988
11988,583161
583161,11988
11988,641416
641416,11988
11988,800268
800268,11988
11988,801912
801912,11988
11988,802368
802368,11988
11988,900482
900482,11988
11988,901161
901161,11988
11988,1460340
1460340,11988
11988,1482517
1482517,11988
11988,1543478
1543478,11988
11988,1557293
1557293,11988
11988,1620357
1620357,11988
12010,40643
12010,67179
12010,466591
12010,895614
12010,908462
12010,1526747
12010,1544204
12041,51203
12041,436705
12041,973399
12041,1446141
12056,49804
12056,71735
12056,459124
12056,897428
12056,908462
12213,21703
21703,12213
12213,364808
364808,12213
12213,800268
12213,867618
12213,1174404
12213,1642743
12213,1728167
1728167,12213
12237,243970
12267,497816
497816,12267
12267,819640
819640,12267
12267,1517692
1517692,12267
12267,1583244
1583244,12267
12478,283169
283169,12478
12478,426487
426487,12478
12478,535608
535608,12478
12478,843831
843831,12478
12478,860029
860029,12478
12478,899291
899291,12478
12478,1198115
1198115,12478
12478,1252878
1252878,12478
12478,1455026
1455026,12478
12510,908462
12572,1509661
1509661,12572
12612,217802
217802,12612
12612,836714
836714,12612
12630,350723
350723,12630
12630,572994
572994,12630
12630,1660629
1660629,12630
12634,36116
36116,12634
12634,242174
242174,12634
12634,872762
872762,12634
12634,1287338
1287338,12634
12828,20651
12828,41820
41820,12828
12828,466591
12828,1624992
1624992,12828
12877,64404
64404,12877
12877,235245
235245,12877
12877,266917
266917,12877
12877,466914
12877,476562
476562,12877
12877,554234
12877,804554
804554,12877
12877,827603
827603,12877
12877,1211129
1211129,12877
12877,1301500
1301500,12877
12877,1451349
1451349,12877
12877,1472050
1472050,12877
12877,1483544
1483544,12877
12906,190109
190109,12906
12906,641416
641416,12906
12906,1490970
1490970,12906
12906,1579799
1579799,12906
12918,911112
911112,12918
12918,1565683
1565683,12918
12934,56630
56630,12934
12934,71735
12934,123440
12934,218312
218312,12934
12934,298246
298246,12934
12934,416601
12934,435003
12934,476562
12934,711932
711932,12934
12934,785255
785255,12934
12934,805117
12934,808353
808353,12934
12934,835824
12934,836030
12934,908462
12934,1132917
1132917,12934
12934,1174404
12934,1233792
1233792,12934
12934,1397199
1397199,12934
12934,1416858
1416858,12934
12934,1456478
12934,1531649
1531649,12934
12934,1666926
13012,48669
48669,13012
13141,38258
13141,268030
268030,13141
13141,424172
424172,13141
13141,493904
493904,13141
13141,815569
815569,13141
13141,861848
861848,13141
13141,891507
891507,13141
13141,894960
894960,13141
13141,929601
929601,13141
13155,20651
13155,416946
13155,438621
438621,13155
13155,446520
446520,13155
13155,456769
456769,13155
13155,521168
13155,837181
837181,13155
13155,908462
13155,1030103
1030103,13155
13155,1200989
1200989,13155
13155,1310650
1310650,13155
13155,1323311
1323311,13155
13155,1572390
1572390,13155
13460,1475168
1475168,13460
13509,96359
13509,973399
13584,109782
109782,13584
13584,361506
361506,13584
13584,635174
635174,13584
13584,819640
819640,13584
13584,871746
871746,13584
13584,1579972
1579972,13584
13584,1583244
1583244,13584
13704,275541
275541,13704
13704,436002
436002,13704
13838,1716808
1716808,13838
13984,97309
97309,13984
13984,101437
13984,236924
13984,252287
252287,13984
13984,436705
13984,466591
13984,467080
13984,472993
13984,512971
13984,586979
13984,810231
810231,13984
13984,811381
13984,908462
13984,1481643
13984,1611456
1611456,13984
13984,1744215
14003,867884
14003,897428
14080,972489
972489,14080
14100,38760
14100,40258
14100,226611
14100,253564
14100,798734
798734,14100
14100,908462
14100,1031962
1031962,14100
14100,1300261
1300261,14100
14100,1548057
14115,818440
818440,14115
14115,1462585
1462585,14115
14115,1521864
1521864,14115
14238,556074
556074,14238
14295,391649
391649,14295
14295,1017936
1017936,14295
14295,1533100
1533100,14295
14527,27104
27104,14527
14527,40643
14527,59192
14527,235188
235188,14527
14527,478114
14527,494108
494108,14527
14527,494319
494319,14527
14527,901161
14527,908462
14527,923138
14527,1073095
1073095,14527
14527,1323058
14527,1454260
14527,1465848
14527,1507398
14527,1508922
14527,1544204
14532,216050
216050,14532
14532,248456
248456,14532
14532,451721
451721,14532
14532,466914
466914,14532
14532,843463
843463,14532
14532,851886
851886,14532
14553,68049
14553,1030924
1030924,14553
15008,239238
239238,15008
15008,342345
15008,371888
15008,725388
15008,810557
810557,15008
15008,849801
15008,899653
15008,911364
911364,15008
15008,1142911
15008,1293019
1293019,15008
15008,1481673
15008,1515942
1515942,15008
15175,34397
34397,15175
15175,47821
47821,15175
15175,93747
93747,15175
15175,200676
200676,15175
15175,233617
233617,15175
15175,414707
414707,15175
15175,493004
493004,15175
15175,519745
519745,15175
15175,804554
804554,15175
15175,866839
866839,15175
15175,877460
877460,15175
15175,1100734
1100734,15175
15175,1249278
1249278,15175
15303,67179
67179,15303
15303,239751
15303,283169
283169,15303
15303,318213
15303,435534
435534,15303
15303,465522
15303,810138
15303,908462
15303,1265924
15303,1459657
1459657,15303
15326,894121
15367,76874
76874,15367
15367,218312
218312,15367
15367,283169
283169,15367
15367,493904
493904,15367
15367,495800
495800,15367
15367,902204
902204,15367
15367,909505
909505,15367
15367,939811
939811,15367
15367,945100
945100,15367
15367,1478062
1478062,15367
15403,383974
383974,15403
15403,810557
810557,15403
15403,935422
935422,15403
15403,973399
15403,1114259
1114259,15403
15489,10769
10769,15489
15489,25000
25000,15489
15489,43385
43385,15489
15489,218312
218312,15489
15489,876538
876538,15489
15489,1233792
1233792,15489
15489,1503284
1503284,15489
15489,1531649
1531649,15489
15489,1579972
1579972,15489
15489,1695440
1695440,15489
15648,297583
297583,15648
15726,20651
15726,61642
61642,15726
15726,75853
75853,15726
15726,435003
15726,493274
493274,15726
15811,91610
91610,15811
15911,10375
10375,15911
15911,459071
459071,15911
15911,499142
499142,15911
15911,807691
807691,15911
15911,908462
15911,913432
913432,15911
15911,921249
921249,15911
15911,1007343
1007343,15911
15964,55536
15964,301724
15964,436705
15964,451721
15964,494108
494108,15964
15964,551781
15964,805117
805117,15964
15964,897428
15964,914341
15964,1508922
16138,800268
16138,809356
16138,897428
16138,908462
16138,1315227
1315227,16138
16247,610399
610399,16247
16247,623881
623881,16247
16320,145780
16320,466610
466610,16320
16320,489157
489157,16320
16320,1429596
1429596,16320
16320,1744215
16373,234397
234397,16373
16373,908462
16373,1008500
1008500,16373
16373,1219323
1219323,16373
16381,4305
4305,16381
16381,16320
16381,71735
16381,436705
16381,551781
16381,765707
765707,16381
16381,785255
785255,16381
16381,973399
16381,1132036
1132036,16381
16381,1324046
1324046,16381
16381,1744215
16403,339276
16403,436705
16403,654512
16490,214137
214137,16490
16490,371888
16490,446520
446520,16490
16543,95859
95859,16543
16543,253858
16543,264616
16543,436594
16543,623362
623362,16543
16543,899653
16543,975538
16543,1131636
1131636,16543
16600,40026
16600,68639
16600,371888
16600,442717
442717,16600
16600,478290
478290,16600
16600,895614
16600,908462
16600,1487952
1487952,16600
16927,9713
9713,16927
16927,317630
317630,16927
16927,422216
16927,466465
466465,16927
16927,466914
16927,846364
846364,16927
16927,901932
901932,16927
16927,908462
16927,1315461
1315461,16927
16927,1323058
16927,1454260
1454260,16927
16975,35555
16975,41029
41029,16975
16975,41403
41403,16975
16975,68639
68639,16975
16975,85533
85533,16975
16975,236601
236601,16975
16975,237363
16975,371888
16975,435003
435003,16975
16975,484195
484195,16975
16975,491372
491372,16975
16975,494249
16975,801912
801912,16975
16975,891507
891507,16975
16975,893897
16975,901161
16975,908462
16975,1041927
16975,1455956
1455956,16975
16975,1494912
1494912,16975
17139,459877
17139,466591
17139,491662
491662,17139
17139,804554
17139,898404
898404,17139
17139,973399
17139,1446141
17139,1544204
17345,864111
17345,1213855
1213855,17345
17345,1522361
17407,436705
17407,1252657
1252657,17407
17458,234774
17458,803605
17458,853495
17458,863274
17458,908462
17458,1286687
1286687,17458
17479,991199
17479,1143551
1143551,17479
17479,1627896
17481,436705
17481,908462
17481,973399
17683,411255
17683,436705
17683,647547
17683,885371
885371,17683
17878,371888
17878,604736
604736,17878
17878,894148
17878,908462
17929,638014
638014,17929
17929,1382884
1382884,17929
17929,1453469
1453469,17929
17981,551781
17981,973399
17981,1497513
1497513,17981
18019,33960
33960,18019
18019,411853
411853,18019
18019,874025
874025,18019
18043,20651
18080,237315
18183,79441
79441,18183
18183,222110
222110,18183
18183,278006
18183,421018
421018,18183
18183,492249
18183,496807
496807,18183
18183,512132
512132,18183
18183,674156
674156,18183
18183,881986
18183,908462
18183,911819
911819,18183
18183,1478171
1478171,18183
18183,1613846
1613846,18183
18183,1638018
1638018,18183
18183,1678464
1678464,18183
18194,40026
18194,436705
18194,466591
466591,18194
18194,894121
18194,908462
18194,973399
18194,1240565
1240565,18194
18194,1314976
1314976,18194
18194,1467578
18194,1544204
18309,40179
40179,18309
18309,51438
51438,18309
18309,95445
95445,18309
18309,231688
231688,18309
18309,306371
306371,18309
18309,333916
333916,18309
18309,423835
423835,18309
18309,439823
439823,18309
18309,466624
466624,18309
18309,614723
614723,18309
18309,834671
834671,18309
18309,1209166
1209166,18309
18309,1326009
1326009,18309
18309,1460576
1460576,18309
18309,1510387
1510387,18309
18309,1513029
1513029,18309
18335,897428
18335,1129836
1129836,18335
18365,71735
18365,355135
18365,451339
18365,1174404
18365,1217486
1217486,18365
18365,1666926
18463,223376
18463,276677
276677,18463
18463,428648
18463,466556
18463,466591
18463,894121
18463,1501799
18504,29822
29822,18504
18504,436705
18504,575717
18504,834956
834956,18504
18504,973399
18504,1038637
1038637,18504
18504,1472312
1472312,18504
18504,1501577
1501577,18504
18510,224541
224541,18510
18510,1509725
1509725,18510
18510,1566514
1566514,18510
18657,144
144,18657
18817,37176
18817,40026
18817,60214
18817,231665
18817,427619
18817,466591
18817,545241
18817,818867
18817,876721
876721,18817
18817,920230
18817,1542183
18817,1572390
18817,1638076
1638076,18817
18879,68639
18879,881986
18879,883775
18879,908462
19000,307907
19000,319383
319383,19000
19000,436705
19000,466914
19000,551781
19000,938105
19000,973399
19000,1038754
1038754,19000
19000,1137804
19000,1307466
19000,1526689
1526689,19000
19000,1548416
19000,1599117
19000,1621878
19060,24660
19060,602152
602152,19060
19060,1028998
1028998,19060
19060,1071749
19060,1322439
1322439,19060
19060,1477255
1477255,19060
19084,908462
19358,66295
66295,19358
19358,90118
90118,19358
19358,247061
19358,248764
19358,439592
439592,19358
19358,864788
864788,19358
19358,1487639
1487639,19358
19358,1503195
1503195,19358
19358,1527379
1527379,19358
19446,214180
19446,924433
19446,1237456
1237456,19446
19486,264616
19486,436705
19533,423320
423320,19533
19533,436705
19533,1460222
19581,257534
257534,19581
19581,331522
331522,19581
19581,831693
831693,19581
19581,908462
19732,904854
19732,1260943
1260943,19732
19938,470608
19938,688799
688799,19938
20159,250876
20159,411255
20159,539625
539625,20159
20159,554234
20159,647547
20159,688799
688799,20159
20159,1602387
1602387,20159
20204,450792
20204,551781
20246,20651
20246,1549394
20322,360398
20322,415580
415580,20322
20322,638920
20322,961608
961608,20322
20322,1199517
20378,265649
265649,20378
20651,234502
234502,20651
20651,420771
420771,20651
20651,478114
478114,20651
20651,488689
488689,20651
20651,514569
514569,20651
20651,861828
861828,20651
20721,423918
423918,20721
20721,861828
861828,20721
20721,1536283
1536283,20721
20855,253375
253375,20855
20855,292424
292424,20855
20855,551781
20855,1275058
1275058,20855
21101,222286
222286,21101
21101,425739
425739,21101
21101,441781
441781,21101
21101,553135
553135,21101
21101,566926
566926,21101
21101,835256
835256,21101
21101,926202
926202,21101
21101,934524
934524,21101
21101,948539
948539,21101
21101,984978
984978,21101
21101,1106115
1106115,21101
21101,1480619
1480619,21101
21173,40643
21173,795074
795074,21173
21173,1488801
21513,843831
21513,908462
21551,68639
21551,120947
21551,456861
21551,466771
21551,466914
21551,534201
534201,21551
21551,839273
21551,883517
883517,21551
21551,897428
21551,899653
21551,907345
21551,908462
21551,1503458
21551,1507760
21703,12213
12213,21703
21703,23802
23802,21703
21703,71735
21703,239891
239891,21703
21703,241717
241717,21703
21703,908462
21703,1324046
1324046,21703
21725,76874
76874,21725
21725,234502
234502,21725
21725,241803
241803,21725
21725,311414
311414,21725
21725,421877
421877,21725
21725,491404
21725,823149
823149,21725
21725,908048
908048,21725
21725,941916
941916,21725
21774,40026
21774,551781
21774,1019382
21774,1446141
21887,235889
21887,254848
254848,21887
21887,411255
21887,436705
21887,491348
491348,21887
21887,1461021
21887,1555225
21972,225817
225817,21972
21972,820832
21972,1315681
1315681,21972
21972,1456645
1456645,21972
22163,437124
22163,564479
22163,808366
808366,22163
22163,872678
22163,1678464
22302,713652
713652,22302
22302,862643
862643,22302
22485,510500
22485,1045956
1045956,22485
22917,714357
714357,22917
22922,436705
22922,1537672
1537672,22922
22972,497816
497816,22972
23017,55536
23017,466591
23017,914606
914606,23017
23017,973399
23017,1467578
23017,1611910
23032,6001
23032,149026
149026,23032
23032,604289
23032,794678
794678,23032
23032,867790
23032,1686565
1686565,23032
23092,509790
509790,23092
23387,320515
320515,23387
23387,484608
484608,23387
23387,701844
701844,23387
23387,709767
709767,23387
23387,864430
864430,23387
23387,908462
23387,964771
964771,23387
23387,1021935
23387,1069009
1069009,23387
23387,1120873
23387,1158888
1158888,23387
23387,1163285
1163285,23387
23387,1269536
1269536,23387
23387,1539233
1539233,23387
23387,1673734
1673734,23387
